بسيج,مولوي,ميدان محمديه,مهديه,هلال احمر,بريانك,كميل,رودكي,شهيد نواب صفوي,تربيت مدرس,ميدان صنعت
17:10,17:18,17:19,17:21,17:23,17:25,17:27,17:29,17:31,17:36,17:43
17:20,17:28,17:29,17:31,17:33,17:35,17:37,17:39,17:41,17:46,17:53
17:30,17:38,17:39,17:41,17:43,17:45,17:47,17:49,17:51,17:56,18:03
17:40,17:48,17:49,17:51,17:53,17:55,17:57,17:59,18:01,18:06,18:13
17:50,17:58,17:59,18:01,18:03,18:05,18:07,18:09,18:11,18:16,18:23
18:00,18:08,18:09,18:11,18:13,18:15,18:17,18:19,18:21,18:26,18:33
18:10,18:18,18:19,18:21,18:23,18:25,18:27,18:29,18:31,18:36,18:43
18:20,18:28,18:29,18:31,18:33,18:35,18:37,18:39,18:41,18:46,18:53
18:30,18:38,18:39,18:41,18:43,18:45,18:47,18:49,18:51,18:56,19:03
18:40,18:48,18:49,18:51,18:53,18:55,18:57,18:59,19:01,19:06,19:13
18:50,18:58,18:59,19:01,19:03,19:05,19:07,19:09,19:11,19:16,19:23
19:00,19:08,19:09,19:11,19:13,19:15,19:17,19:19,19:21,19:26,19:33
19:10,19:18,19:19,19:21,19:23,19:25,19:27,19:29,19:31,19:36,19:43
19:20,19:28,19:29,19:31,19:33,19:35,19:37,19:39,19:41,19:46,19:53
19:30,19:38,19:39,19:41,19:43,19:45,19:47,19:49,19:51,19:56,20:03
19:40,19:48,19:49,19:51,19:53,19:55,19:57,19:59,20:01,20:06,20:13
19:50,19:58,19:59,20:01,20:03,20:05,20:07,20:09,20:11,20:16,20:23
20:00,20:08,20:09,20:11,20:13,20:15,20:17,20:19,20:21,20:26,20:33
20:10,20:18,20:19,20:21,20:23,20:25,20:27,20:29,20:31,20:36,20:43
20:20,20:28,20:29,20:31,20:33,20:35,20:37,20:39,20:41,20:46,20:53
20:30,20:38,20:39,20:41,20:43,20:45,20:47,20:49,20:51,20:56,21:03
20:40,20:48,20:49,20:51,20:53,20:55,20:57,20:59,21:01,21:06,21:13
20:50,20:58,20:59,21:01,21:03,21:05,21:07,21:09,21:11,21:16,21:23
21:00,21:08,21:09,21:11,21:13,21:15,21:17,21:19,21:21,21:26,21:33
21:10,21:18,21:19,21:21,21:23,21:25,21:27,21:29,21:31,21:36,21:43
21:20,21:28,21:29,21:31,21:33,21:35,21:37,21:39,21:41,21:46,21:53
21:30,21:38,21:39,21:41,21:43,21:45,21:47,21:49,21:51,21:56,22:03
21:40,21:48,21:49,21:51,21:53,21:55,21:57,21:59,22:01,22:06,22:13
21:50,21:58,21:59,22:01,22:03,22:05,22:07,22:09,22:11,22:16,22:23
22:00,22:08,22:09,22:11,22:13,22:15,22:17,22:19,22:21,22:26,22:33
22:10,22:18,22:19,22:21,22:23,22:25,22:27,22:29,22:31,22:36,22:43
22:30,22:38,22:39,22:41,22:43,22:45,22:47,22:49,22:51,22:56,23:03
