تهران (صادقيه) ,ارم سبز,ورزشگاه آزادي,چيتگر,ايران خودرو,وردآورد,گرمدره,اتمسفر,كرج,محمد شهر,گلشهر
54,89,90,91,92,93,94,95,96,97,98
6:15,6:20,6:24,6:29,6:35,6:41,6:49,6:53,7:00,7:07,7:12
6:45,6:50,6:54,6:59,7:05,7:11,7:19,7:23,7:30,7:37,7:42
7:15,7:20,7:24,7:29,7:35,7:41,7:49,7:53,8:00,8:07,8:12
7:45,7:50,7:54,7:59,8:05,8:11,8:19,8:23,8:30,8:37,8:42
8:15,8:20,8:24,8:29,8:35,8:41,8:49,8:53,9:00,9:07,9:12
8:45,8:50,8:54,8:59,9:05,9:11,9:19,9:23,9:30,9:37,9:42
9:15,9:20,9:24,9:29,9:35,9:41,9:49,9:53,10:00,10:07,10:12
9:45,9:50,9:54,9:59,10:05,10:11,10:19,10:23,10:30,10:37,10:42
10:15,10:20,10:24,10:29,10:35,10:41,10:49,10:53,11:00,11:07,11:12
10:45,10:50,10:54,10:59,11:05,11:11,11:19,11:23,11:30,11:37,11:42
11:15,11:20,11:24,11:29,11:35,11:41,11:49,11:53,12:00,12:07,12:12
11:45,11:50,11:54,11:59,12:05,12:11,12:19,12:23,12:30,12:37,12:42
12:15,12:20,12:24,12:29,12:35,12:41,12:49,12:53,13:00,13:07,13:12
12:45,12:50,12:54,12:59,13:05,13:11,13:19,13:23,13:30,13:37,13:42
13:15,13:20,13:24,13:29,13:35,13:41,13:49,13:53,14:00,14:07,14:12
13:45,13:50,13:54,13:59,14:05,14:11,14:19,14:23,14:30,14:37,14:42
14:15,14:20,14:24,14:29,14:35,14:41,14:49,14:53,15:00,15:07,15:12
14:45,14:50,14:54,14:59,15:05,15:11,15:19,15:23,15:30,15:37,15:42
15:10,15:15,15:19,15:24,15:30,15:36,15:44,15:48,15:55,16:02,16:07
15:30,15:35,15:39,15:44,15:50,15:56,16:04,16:08,16:15,16:22,16:27
15:50,15:55,15:59,16:04,16:10,16:16,16:24,16:28,16:35,16:42,16:47
16:10,16:15,16:19,16:24,16:30,16:36,16:44,16:48,16:55,17:02,17:07
16:30,16:35,16:39,16:44,16:50,16:56,17:04,17:08,17:15,17:22,17:27
16:50,16:55,16:59,17:04,17:10,17:16,17:24,17:28,17:35,17:42,17:47
17:10,17:15,17:19,17:24,17:30,17:36,17:44,17:48,17:55,18:02,18:07
17:30,17:35,17:39,17:44,17:50,17:56,18:04,18:08,18:15,18:22,18:27
17:50,17:55,17:59,18:04,18:10,18:16,18:24,18:28,18:35,18:42,18:47
18:10,18:15,18:19,18:24,18:30,18:36,18:44,18:48,18:55,19:02,19:07
18:30,18:35,18:39,18:44,18:50,18:56,19:04,19:08,19:15,19:22,19:27
18:50,18:55,18:59,19:04,19:10,19:16,19:24,19:28,19:35,19:42,19:47
19:10,19:15,19:19,19:24,19:30,19:36,19:44,19:48,19:55,20:02,20:07
19:30,19:35,19:39,19:44,19:50,19:56,20:04,20:08,20:15,20:22,20:27
20:00,20:05,20:09,20:14,20:20,20:26,20:34,20:38,20:45,20:52,20:57
20:30,20:35,20:39,20:44,20:50,20:56,21:04,21:08,21:15,21:22,21:27
21:00,21:05,21:09,21:14,21:20,21:26,21:34,21:38,21:45,21:52,21:57
21:30,21:35,21:39,21:44,21:50,21:56,22:04,22:08,22:15,22:22,22:27
22:00,22:05,22:09,22:14,22:20,22:26,22:34,22:38,22:45,22:52,22:57
22:30,22:35,22:39,22:44,22:50,22:56,23:04,23:08,23:15,23:22,23:27
