تهران (صادقيه) ,ارم سبز,ورزشگاه آزادي,چيتگر,ايران خودرو,وردآورد,گرمدره,اتمسفر,كرج,محمد شهر,گلشهر
54,89,90,91,92,93,94,95,96,97,98
5:00,5:05,5:09,5:14,5:20,5:26,5:34,5:38,5:45,5:52,5:57
5:30,5:35,5:39,5:44,5:50,5:56,6:04,6:08,6:15,6:22,6:27
6:00,6:05,6:09,6:14,6:20,6:26,6:34,6:38,6:45,6:52,6:57
6:20,6:25,6:29,6:34,6:40,6:52,7:00,7:04,7:11,7:18,7:23
6:30,6:35,,,,,,,6:59,,7:10
6:37,6:42,6:46,6:51,6:57,7:07,7:15,7:19,7:26,7:33,7:38
6:45,6:50,,,,,,,7:16,,7:27
6:52,6:57,7:01,7:06,7:12,7:22,7:30,7:34,7:41,7:48,7:53
7:00,7:05,,,,,,,7:31,,7:42
7:07,7:12,7:16,7:21,7:27,7:37,7:45,7:49,7:56,8:03,8:08
7:15,7:20,,,,,,,7:46,,7:57
7:22,7:27,7:31,7:36,7:42,7:52,8:00,8:04,8:11,8:18,8:23
7:30,7:35,,,,,,,8:01,,8:12
7:37,7:42,7:46,7:51,7:57,8:03,8:11,8:15,8:22,8:29,8:34
7:50,7:55,7:59,8:04,8:10,8:22,8:30,8:34,8:41,8:48,8:53
8:00,8:05,,,,,,,8:29,,8:40
8:07,8:12,8:16,8:21,8:27,8:33,8:41,8:45,8:52,8:59,9:04
8:20,8:25,8:29,8:34,8:40,8:52,9:00,9:04,9:11,9:18,9:23
8:30,8:35,,,,,,,8:59,,9:10
8:37,8:42,8:46,8:51,8:57,9:03,9:11,9:15,9:22,9:29,9:34
8:50,8:55,8:59,9:04,9:10,9:22,9:30,9:34,9:41,9:48,9:53
9:00,9:05,,,,,,,9:29,,9:40
9:07,9:12,9:16,9:21,9:27,9:33,9:41,9:45,9:52,9:59,10:04
9:20,9:25,9:29,9:34,9:40,9:52,10:00,10:04,10:11,10:18,10:23
9:30,9:35,,,,,,,9:59,,10:10
9:37,9:42,9:46,9:51,9:57,10:03,10:11,10:15,10:22,10:29,10:34
