ميدان صنعت,تربيت مدرس,شهيد نواب صفوي,رودكي,كميل,بريانك,هلال احمر,مهديه,ميدان محمديه,مولوي,بسيج
113,117,49,119,114,116,120,27,67,123,115
6:05,6:09,6:14,6:16,6:18,6:20,6:22,6:24,6:26,6:28,6:38
6:20,6:24,6:29,6:31,6:33,6:35,6:37,6:39,6:41,6:43,6:53
6:40,6:44,6:49,6:51,6:53,6:55,6:57,6:59,7:01,7:03,7:13
6:55,6:59,7:04,7:06,7:08,7:10,7:12,7:14,7:16,7:18,7:28
7:10,7:14,7:19,7:21,7:23,7:25,7:27,7:29,7:31,7:33,7:43
7:25,7:29,7:34,7:36,7:38,7:40,7:42,7:44,7:46,7:48,7:58
7:40,7:44,7:49,7:51,7:53,7:55,7:57,7:59,8:01,8:03,8:13
7:55,7:59,8:04,8:06,8:08,8:10,8:12,8:14,8:16,8:18,8:28
8:10,8:14,8:19,8:21,8:23,8:25,8:27,8:29,8:31,8:33,8:43
8:25,8:29,8:34,8:36,8:38,8:40,8:42,8:44,8:46,8:48,8:58
8:40,8:44,8:49,8:51,8:53,8:55,8:57,8:59,9:01,9:03,9:13
8:55,8:59,9:04,9:06,9:08,9:10,9:12,9:14,9:16,9:18,9:28
9:10,9:14,9:19,9:21,9:23,9:25,9:27,9:29,9:31,9:33,9:43
9:25,9:29,9:34,9:36,9:38,9:40,9:42,9:44,9:46,9:48,9:58
9:40,9:44,9:49,9:51,9:53,9:55,9:57,9:59,10:01,10:03,10:13
9:55,9:59,10:04,10:06,10:08,10:10,10:12,10:14,10:16,10:18,10:28
10:10,10:14,10:19,10:21,10:23,10:25,10:27,10:29,10:31,10:33,10:43
10:25,10:29,10:34,10:36,10:38,10:40,10:42,10:44,10:46,10:48,10:58
10:40,10:44,10:49,10:51,10:53,10:55,10:57,10:59,11:01,11:03,11:13
10:55,10:59,11:04,11:06,11:08,11:10,11:12,11:14,11:16,11:18,11:28
