گلشهر,محمد شهر,كرج,اتمسفر,گرمدره,وردآورد,ايران خودرو,چيتگر,ورزشگاه آزادي,ارم سبز,تهران (صادقيه) 
98,97,96,95,94,93,92,91,90,89,54
6:00,6:05,6:11,6:18,6:22,6:30,6:36,6:42,6:47,6:51,6:57
6:30,6:35,6:41,6:48,6:52,7:00,7:06,7:12,7:17,7:21,7:27
7:00,7:05,7:11,7:18,7:22,7:30,7:36,7:42,7:47,7:51,7:57
7:30,7:35,7:41,7:48,7:52,8:00,8:06,8:12,8:17,8:21,8:27
8:00,8:05,8:11,8:18,8:22,8:30,8:36,8:42,8:47,8:51,8:57
8:30,8:35,8:41,8:48,8:52,9:00,9:06,9:12,9:17,9:21,9:27
9:00,9:05,9:11,9:18,9:22,9:30,9:36,9:42,9:47,9:51,9:57
9:30,9:35,9:41,9:48,9:52,10:00,10:06,10:12,10:17,10:21,10:27
10:00,10:05,10:11,10:18,10:22,10:30,10:36,10:42,10:47,10:51,10:57
10:30,10:35,10:41,10:48,10:52,11:00,11:06,11:12,11:17,11:21,11:27
11:00,11:05,11:11,11:18,11:22,11:30,11:36,11:42,11:47,11:51,11:57
11:30,11:35,11:41,11:48,11:52,12:00,12:06,12:12,12:17,12:21,12:27
12:00,12:05,12:11,12:18,12:22,12:30,12:36,12:42,12:47,12:51,12:57
12:30,12:35,12:41,12:48,12:52,13:00,13:06,13:12,13:17,13:21,13:27
13:00,13:05,13:11,13:18,13:22,13:30,13:36,13:42,13:47,13:51,13:57
13:30,13:35,13:41,13:48,13:52,14:00,14:06,14:12,14:17,14:21,14:27
14:00,14:05,14:11,14:18,14:22,14:30,14:36,14:42,14:47,14:51,14:57
14:30,14:35,14:41,14:48,14:52,15:00,15:06,15:12,15:17,15:21,15:27
15:00,15:05,15:11,15:18,15:22,15:30,15:36,15:42,15:47,15:51,15:57
15:20,15:25,15:31,15:38,15:42,15:50,15:56,16:02,16:07,16:11,16:17
15:40,15:45,15:51,15:58,16:02,16:10,16:16,16:22,16:27,16:31,16:37
16:00,16:05,16:11,16:18,16:22,16:30,16:36,16:42,16:47,16:51,16:57
16:20,16:25,16:31,16:38,16:42,16:50,16:56,17:02,17:07,17:11,17:17
16:40,16:45,16:51,16:58,17:02,17:10,17:16,17:22,17:27,17:31,17:37
17:00,17:05,17:11,17:18,17:22,17:30,17:36,17:42,17:47,17:51,17:57
17:20,17:25,17:31,17:38,17:42,17:50,17:56,18:02,18:07,18:11,18:17
17:40,17:45,17:51,17:58,18:02,18:10,18:16,18:22,18:27,18:31,18:37
18:00,18:05,18:11,18:18,18:22,18:30,18:36,18:42,18:47,18:51,18:57
18:20,18:25,18:31,18:38,18:42,18:50,18:56,19:02,19:07,19:11,19:17
18:40,18:45,18:51,18:58,19:02,19:10,19:16,19:22,19:27,19:31,19:37
19:00,19:05,19:11,19:18,19:22,19:30,19:36,19:42,19:47,19:51,19:57
19:30,19:35,19:41,19:48,19:52,20:00,20:06,20:12,20:17,20:21,20:27
20:00,20:05,20:11,20:18,20:22,20:30,20:36,20:42,20:47,20:51,20:57
20:30,20:35,20:41,20:48,20:52,21:00,21:06,21:12,21:17,21:21,21:27
21:00,21:05,21:11,21:18,21:22,21:30,21:36,21:42,21:47,21:51,21:57
21:30,21:35,21:41,21:48,21:52,22:00,22:06,22:12,22:17,22:21,22:27
22:00,22:05,22:11,22:18,22:22,22:30,22:36,22:42,22:47,22:51,22:57
22:30,22:35,22:41,22:48,22:52,23:00,23:06,23:12,23:17,23:21,23:27
17:30,17:35,17:41,17:48,17:52,18:00,18:06,18:12,18:17,18:21,18:27
17:45,17:50,17:56,18:03,18:07,18:15,18:21,18:27,18:32,18:36,18:42
18:00,18:05,18:11,18:18,18:22,18:30,18:36,18:42,18:47,18:51,18:57
18:15,18:20,18:26,18:33,18:37,18:45,18:51,18:57,19:02,19:06,19:12
18:30,18:35,18:41,18:48,18:52,19:00,19:06,19:12,19:17,19:21,19:27
18:45,18:50,18:56,19:03,19:07,19:15,19:21,19:27,19:32,19:36,19:42
19:00,19:05,19:11,19:18,19:22,19:30,19:36,19:42,19:47,19:51,19:57
19:20,19:25,19:31,19:38,19:42,19:50,19:56,20:02,20:07,20:11,20:17
19:40,19:45,19:51,19:58,20:02,20:10,20:16,20:22,20:27,20:31,20:37
20:00,20:05,20:11,20:18,20:22,20:30,20:36,20:42,20:47,20:51,20:57
20:20,20:25,20:31,20:38,20:42,20:50,20:56,21:02,21:07,21:11,21:17
20:40,20:45,20:51,20:58,21:02,21:10,21:16,21:22,21:27,21:31,21:37
21:00,21:05,21:11,21:18,21:22,21:30,21:36,21:42,21:47,21:51,21:57
21:30,21:35,21:41,21:48,21:52,22:00,22:06,22:12,22:17,22:21,22:27
