ميدان صنعت,تربيت مدرس,شهيد نواب صفوي,رودكي,كميل,بريانك,هلال احمر,مهديه,ميدان محمديه,مولوي,بسيج
17:15,17:19,17:24,17:26,17:28,17:30,17:32,17:34,17:36,17:38,17:48
17:25,17:29,17:34,17:36,17:38,17:40,17:42,17:44,17:46,17:48,17:58
17:35,17:39,17:44,17:46,17:48,17:50,17:52,17:54,17:56,17:58,18:08
17:45,17:49,17:54,17:56,17:58,18:00,18:02,18:04,18:06,18:08,18:18
17:55,17:59,18:04,18:06,18:08,18:10,18:12,18:14,18:16,18:18,18:28
18:05,18:09,18:14,18:16,18:18,18:20,18:22,18:24,18:26,18:28,18:38
18:15,18:19,18:24,18:26,18:28,18:30,18:32,18:34,18:36,18:38,18:48
18:25,18:29,18:34,18:36,18:38,18:40,18:42,18:44,18:46,18:48,18:58
18:35,18:39,18:44,18:46,18:48,18:50,18:52,18:54,18:56,18:58,19:08
18:45,18:49,18:54,18:56,18:58,19:00,19:02,19:04,19:06,19:08,19:18
18:55,18:59,19:04,19:06,19:08,19:10,19:12,19:14,19:16,19:18,19:28
19:05,19:09,19:14,19:16,19:18,19:20,19:22,19:24,19:26,19:28,19:38
19:15,19:19,19:24,19:26,19:28,19:30,19:32,19:34,19:36,19:38,19:48
19:25,19:29,19:34,19:36,19:38,19:40,19:42,19:44,19:46,19:48,19:58
19:35,19:39,19:44,19:46,19:48,19:50,19:52,19:54,19:56,19:58,20:08
19:45,19:49,19:54,19:56,19:58,20:00,20:02,20:04,20:06,20:08,20:18
19:55,19:59,20:04,20:06,20:08,20:10,20:12,20:14,20:16,20:18,20:28
20:05,20:09,20:14,20:16,20:18,20:20,20:22,20:24,20:26,20:28,20:38
20:15,20:19,20:24,20:26,20:28,20:30,20:32,20:34,20:36,20:38,20:48
20:25,20:29,20:34,20:36,20:38,20:40,20:42,20:44,20:46,20:48,20:58
20:35,20:39,20:44,20:46,20:48,20:50,20:52,20:54,20:56,20:58,21:08
20:45,20:49,20:54,20:56,20:58,21:00,21:02,21:04,21:06,21:08,21:18
20:55,20:59,21:04,21:06,21:08,21:10,21:12,21:14,21:16,21:18,21:28
21:05,21:09,21:14,21:16,21:18,21:20,21:22,21:24,21:26,21:28,21:38
21:15,21:19,21:24,21:26,21:28,21:30,21:32,21:34,21:36,21:38,21:48
21:25,21:29,21:34,21:36,21:38,21:40,21:42,21:44,21:46,21:48,21:58
21:35,21:39,21:44,21:46,21:48,21:50,21:52,21:54,21:56,21:58,22:08
21:45,21:49,21:54,21:56,21:58,22:00,22:02,22:04,22:06,22:08,22:18
21:55,21:59,22:04,22:06,22:08,22:10,22:12,22:14,22:16,22:18,22:28
22:05,22:09,22:14,22:16,22:18,22:20,22:22,22:24,22:26,22:28,22:38
22:15,22:19,22:24,22:26,22:28,22:30,22:32,22:34,22:36,22:38,22:48
22:30,22:34,22:39,22:41,22:43,22:45,22:47,22:49,22:51,22:53,23:03
